size,comparisons,swaps
10,45,17
10,45,19
10,45,15
10,45,18
10,45,23
10,45,23
10,45,19
10,45,21
10,45,11
10,45,24
10,45,21
10,45,21
10,45,14
10,45,36
10,45,17
10,45,29
10,45,28
10,45,26
10,45,28
10,45,22
10,45,23
10,45,25
10,45,21
10,45,31
10,45,28
10,45,24
10,45,33
10,45,22
10,45,25
10,45,24
10,45,30
10,45,19
10,45,22
10,45,21
10,45,16
10,45,16
10,45,20
10,45,22
10,45,20
10,45,19
10,45,30
10,45,17
10,45,22
10,45,18
10,45,13
10,45,25
10,45,22
10,45,21
10,45,36
10,45,19
10,45,14
10,45,17
10,45,22
10,45,23
10,45,19
10,45,20
10,45,29
10,45,18
10,45,20
10,45,26
10,45,28
10,45,21
10,45,18
10,45,23
10,45,25
10,45,18
10,45,24
10,45,27
10,45,27
10,45,25
10,45,32
10,45,12
10,45,14
10,45,28
10,45,27
10,45,24
10,45,9
10,45,24
10,45,23
10,45,27
10,45,13
10,45,22
10,45,21
10,45,24
10,45,23
10,45,30
10,45,24
10,45,28
10,45,31
10,45,23
10,45,18
10,45,23
10,45,23
10,45,22
10,45,21
10,45,21
10,45,20
10,45,16
10,45,35
10,45,25
30,435,197
30,435,242
30,435,223
30,435,211
30,435,221
30,435,213
30,435,223
30,435,187
30,435,221
30,435,245
30,435,188
30,435,230
30,435,219
30,435,193
30,435,223
30,435,195
30,435,203
30,435,208
30,435,229
30,435,237
30,435,194
30,435,221
30,435,242
30,435,243
30,435,224
30,435,228
30,435,149
30,435,197
30,435,178
30,435,238
30,435,183
30,435,241
30,435,222
30,435,241
30,435,170
30,435,261
30,435,220
30,435,214
30,435,147
30,435,258
30,435,168
30,435,192
30,435,229
30,435,177
30,435,201
30,435,173
30,435,176
30,435,182
30,435,233
30,435,194
30,435,235
30,435,258
30,435,186
30,435,260
30,435,193
30,435,221
30,435,201
30,435,192
30,435,242
30,435,296
30,435,215
30,435,223
30,435,208
30,435,241
30,435,245
30,435,240
30,435,279
30,435,215
30,435,211
30,435,196
30,435,185
30,435,246
30,435,210
30,435,191
30,435,218
30,435,227
30,435,209
30,435,204
30,435,165
30,435,227
30,435,231
30,435,219
30,435,222
30,435,236
30,435,197
30,435,218
30,435,222
30,435,207
30,435,250
30,435,221
30,435,241
30,435,208
30,435,188
30,435,206
30,435,176
30,435,213
30,435,177
30,435,256
30,435,190
30,435,259
50,1225,644
50,1225,634
50,1225,667
50,1225,639
50,1225,585
50,1225,721
50,1225,512
50,1225,591
50,1225,623
50,1225,588
50,1225,710
50,1225,600
50,1225,548
50,1225,579
50,1225,624
50,1225,521
50,1225,573
50,1225,634
50,1225,649
50,1225,611
50,1225,611
50,1225,786
50,1225,605
50,1225,548
50,1225,563
50,1225,668
50,1225,681
50,1225,560
50,1225,522
50,1225,584
50,1225,673
50,1225,541
50,1225,698
50,1225,478
50,1225,616
50,1225,525
50,1225,610
50,1225,610
50,1225,639
50,1225,505
50,1225,575
50,1225,682
50,1225,556
50,1225,654
50,1225,691
50,1225,566
50,1225,612
50,1225,575
50,1225,505
50,1225,506
50,1225,642
50,1225,581
50,1225,636
50,1225,654
50,1225,751
50,1225,653
50,1225,648
50,1225,660
50,1225,545
50,1225,663
50,1225,616
50,1225,641
50,1225,580
50,1225,719
50,1225,642
50,1225,538
50,1225,611
50,1225,650
50,1225,629
50,1225,668
50,1225,557
50,1225,508
50,1225,652
50,1225,580
50,1225,520
50,1225,580
50,1225,611
50,1225,684
50,1225,606
50,1225,474
50,1225,617
50,1225,536
50,1225,656
50,1225,595
50,1225,622
50,1225,624
50,1225,666
50,1225,626
50,1225,649
50,1225,672
50,1225,735
50,1225,536
50,1225,587
50,1225,739
50,1225,479
50,1225,631
50,1225,637
50,1225,606
50,1225,590
50,1225,689
80,3160,1706
80,3160,1370
80,3160,1483
80,3160,1551
80,3160,1487
80,3160,1550
80,3160,1735
80,3160,1481
80,3160,1753
80,3160,1759
80,3160,1730
80,3160,1514
80,3160,1329
80,3160,1523
80,3160,1454
80,3160,1397
80,3160,1573
80,3160,1717
80,3160,1550
80,3160,1608
80,3160,1646
80,3160,1652
80,3160,1519
80,3160,1461
80,3160,1319
80,3160,1316
80,3160,1555
80,3160,1647
80,3160,1649
80,3160,1457
80,3160,1399
80,3160,1576
80,3160,1442
80,3160,1458
80,3160,1754
80,3160,1682
80,3160,1520
80,3160,1557
80,3160,1340
80,3160,1639
80,3160,1534
80,3160,1773
80,3160,1692
80,3160,1409
80,3160,1449
80,3160,1527
80,3160,1477
80,3160,1509
80,3160,1593
80,3160,1708
80,3160,1426
80,3160,1642
80,3160,1521
80,3160,1624
80,3160,1590
80,3160,1476
80,3160,1566
80,3160,1679
80,3160,1448
80,3160,1604
80,3160,1667
80,3160,1672
80,3160,1804
80,3160,1483
80,3160,1614
80,3160,1340
80,3160,1539
80,3160,1510
80,3160,1517
80,3160,1612
80,3160,1608
80,3160,1828
80,3160,1693
80,3160,1637
80,3160,1431
80,3160,1415
80,3160,1537
80,3160,1526
80,3160,1672
80,3160,1585
80,3160,1537
80,3160,1419
80,3160,1485
80,3160,1628
80,3160,1478
80,3160,1525
80,3160,1430
80,3160,1370
80,3160,1745
80,3160,1660
80,3160,1569
80,3160,1734
80,3160,1565
80,3160,1584
80,3160,1444
80,3160,1559
80,3160,1577
80,3160,1848
80,3160,1720
80,3160,1555
100,4950,2444
100,4950,2658
100,4950,2680
100,4950,2226
100,4950,2633
100,4950,2676
100,4950,2283
100,4950,2503
100,4950,2352
100,4950,2351
100,4950,2478
100,4950,2551
100,4950,1999
100,4950,2603
100,4950,2489
100,4950,2699
100,4950,2353
100,4950,2331
100,4950,2080
100,4950,2313
100,4950,2424
100,4950,2552
100,4950,2791
100,4950,2693
100,4950,2529
100,4950,2362
100,4950,2821
100,4950,2498
100,4950,2452
100,4950,2353
100,4950,2493
100,4950,2211
100,4950,2504
100,4950,2309
100,4950,2531
100,4950,2575
100,4950,2434
100,4950,2660
100,4950,2289
100,4950,2574
100,4950,2371
100,4950,2393
100,4950,2682
100,4950,2411
100,4950,2730
100,4950,2801
100,4950,2349
100,4950,2611
100,4950,2607
100,4950,2576
100,4950,2450
100,4950,2587
100,4950,2369
100,4950,2355
100,4950,2525
100,4950,2368
100,4950,2249
100,4950,2426
100,4950,2451
100,4950,2575
100,4950,2213
100,4950,2474
100,4950,2201
100,4950,2505
100,4950,2507
100,4950,2153
100,4950,2667
100,4950,2644
100,4950,2616
100,4950,2646
100,4950,2404
100,4950,2598
100,4950,2645
100,4950,2263
100,4950,2192
100,4950,2635
100,4950,2589
100,4950,2447
100,4950,2471
100,4950,2503
100,4950,2463
100,4950,2294
100,4950,2483
100,4950,2648
100,4950,2465
100,4950,2385
100,4950,2452
100,4950,2463
100,4950,2881
100,4950,2301
100,4950,2289
100,4950,2580
100,4950,2390
100,4950,2281
100,4950,2207
100,4950,2532
100,4950,2215
100,4950,2320
100,4950,2542
100,4950,2409
