size,comparison,swap
10,63,21
10,64,20
10,63,19
10,61,22
10,63,23
10,67,27
10,62,21
10,64,21
10,62,15
10,64,24
10,63,20
10,65,25
10,61,19
10,64,26
10,63,21
10,65,25
10,67,30
10,65,27
10,63,21
10,65,24
10,64,22
10,65,24
10,62,19
10,66,28
10,67,29
10,63,23
10,65,27
10,64,22
10,65,26
10,62,19
10,66,29
10,62,19
10,64,23
10,63,26
10,63,19
10,60,17
10,63,22
10,64,25
10,62,15
10,61,20
10,65,26
10,65,24
10,66,27
10,64,24
10,61,16
10,63,21
10,65,24
10,65,24
10,65,27
10,61,18
10,64,20
10,61,15
10,64,23
10,60,19
10,62,21
10,64,24
10,65,27
10,62,20
10,63,24
10,63,24
10,65,27
10,61,19
10,65,22
10,64,22
10,63,22
10,63,21
10,65,25
10,66,25
10,66,26
10,65,24
10,65,28
10,60,17
10,63,19
10,64,25
10,66,28
10,61,19
10,59,12
10,63,20
10,65,26
10,67,27
10,63,18
10,63,20
10,65,23
10,64,26
10,65,24
10,66,27
10,62,21
10,63,23
10,64,23
10,65,23
10,60,15
10,64,21
10,64,20
10,60,16
10,64,24
10,66,25
10,62,19
10,62,17
10,67,32
10,64,24
30,283,118
30,283,113
30,276,108
30,285,119
30,275,107
30,277,103
30,274,99
30,275,103
30,280,115
30,279,112
30,269,95
30,279,108
30,275,111
30,276,109
30,279,112
30,281,117
30,285,126
30,280,114
30,278,114
30,280,113
30,275,99
30,281,113
30,282,113
30,279,114
30,277,110
30,278,109
30,271,93
30,276,100
30,273,102
30,275,103
30,278,102
30,284,122
30,274,108
30,283,116
30,275,101
30,278,107
30,276,105
30,278,108
30,268,104
30,281,110
30,284,122
30,276,105
30,282,114
30,277,101
30,280,113
30,276,106
30,277,104
30,273,98
30,283,112
30,273,102
30,276,107
30,279,114
30,275,108
30,280,116
30,277,102
30,287,125
30,274,101
30,278,105
30,281,116
30,282,120
30,280,110
30,280,117
30,279,113
30,278,109
30,282,115
30,275,104
30,283,121
30,284,122
30,282,118
30,278,105
30,282,119
30,277,108
30,275,109
30,269,94
30,281,113
30,280,114
30,271,99
30,278,105
30,270,96
30,279,114
30,283,117
30,278,113
30,285,120
30,281,114
30,279,116
30,280,111
30,280,114
30,275,106
30,283,116
30,283,111
30,274,107
30,274,99
30,275,106
30,281,115
30,274,105
30,269,99
30,279,111
30,279,112
30,272,97
30,275,107
50,546,220
50,549,225
50,549,227
50,547,222
50,542,213
50,540,216
50,550,230
50,540,217
50,543,216
50,545,222
50,548,229
50,547,222
50,551,230
50,546,222
50,545,219
50,540,210
50,545,215
50,546,220
50,541,211
50,550,234
50,537,210
50,551,228
50,546,227
50,540,221
50,548,224
50,543,215
50,540,212
50,538,217
50,546,213
50,548,218
50,542,216
50,546,217
50,543,222
50,534,203
50,552,232
50,540,210
50,543,209
50,538,208
50,539,205
50,543,216
50,538,216
50,540,215
50,540,212
50,555,237
50,544,217
50,541,209
50,548,236
50,553,236
50,545,216
50,535,194
50,546,232
50,544,223
50,545,221
50,549,232
50,546,217
50,540,220
50,541,217
50,542,218
50,542,225
50,548,226
50,534,202
50,544,220
50,542,217
50,550,234
50,542,221
50,533,199
50,546,222
50,539,207
50,546,216
50,547,221
50,538,204
50,543,213
50,553,228
50,547,219
50,542,219
50,545,218
50,543,218
50,548,234
50,536,203
50,533,191
50,547,228
50,535,203
50,552,232
50,544,209
50,547,230
50,542,208
50,552,224
50,546,223
50,542,206
50,545,221
50,554,236
50,532,200
50,545,224
50,548,219
50,540,208
50,543,214
50,552,229
50,534,203
50,540,218
50,540,210
80,993,439
80,991,431
80,985,415
80,971,401
80,981,407
80,986,420
80,977,408
80,969,393
80,986,423
80,977,399
80,975,395
80,983,400
80,973,387
80,967,383
80,978,389
80,976,392
80,974,388
80,985,418
80,985,418
80,980,401
