size,comparison,swap
10,24,34
10,25,34
10,25,34
10,21,34
10,23,34
10,23,34
10,24,34
10,24,34
10,25,34
10,23,34
10,23,34
10,24,34
10,22,34
10,18,34
10,25,34
10,23,34
10,22,34
10,23,34
10,21,34
10,23,34
10,22,34
10,23,34
10,22,34
10,23,34
10,23,34
10,22,34
10,23,34
10,23,34
10,23,34
10,20,34
10,25,34
10,22,34
10,24,34
10,22,34
10,23,34
10,20,34
10,23,34
10,23,34
10,23,34
10,21,34
10,22,34
10,24,34
10,23,34
10,23,34
10,24,34
10,21,34
10,25,34
10,24,34
10,20,34
10,24,34
10,24,34
10,23,34
10,22,34
10,19,34
10,23,34
10,24,34
10,24,34
10,22,34
10,22,34
10,23,34
10,22,34
10,21,34
10,24,34
10,23,34
10,23,34
10,22,34
10,24,34
10,23,34
10,24,34
10,25,34
10,22,34
10,24,34
10,24,34
10,22,34
10,22,34
10,21,34
10,22,34
10,22,34
10,23,34
10,24,34
10,24,34
10,24,34
10,22,34
10,22,34
10,23,34
10,21,34
10,21,34
10,23,34
10,20,34
10,22,34
10,23,34
10,25,34
10,23,34
10,24,34
10,23,34
10,22,34
10,23,34
10,23,34
10,20,34
10,21,34
30,114,148
30,111,148
30,109,148
30,115,148
30,111,148
30,113,148
30,109,148
30,109,148
30,115,148
30,108,148
30,108,148
30,113,148
30,112,148
30,117,148
30,110,148
30,112,148
30,108,148
30,115,148
30,112,148
30,111,148
30,114,148
30,113,148
30,115,148
30,111,148
30,116,148
30,112,148
30,109,148
30,112,148
30,109,148
30,110,148
30,112,148
30,111,148
30,107,148
30,110,148
30,109,148
30,110,148
30,107,148
30,108,148
30,107,148
30,109,148
30,114,148
30,113,148
30,115,148
30,114,148
30,114,148
30,113,148
30,113,148
30,112,148
30,111,148
30,108,148
30,113,148
30,109,148
30,107,148
30,111,148
30,116,148
30,113,148
30,112,148
30,114,148
30,114,148
30,110,148
30,117,148
30,113,148
30,113,148
30,113,148
30,113,148
30,108,148
30,109,148
30,111,148
30,111,148
30,113,148
30,111,148
30,110,148
30,112,148
30,110,148
30,116,148
30,108,148
30,105,148
30,113,148
30,111,148
30,114,148
30,113,148
30,116,148
30,113,148
30,110,148
30,112,148
30,115,148
30,112,148
30,113,148
30,113,148
30,115,148
30,112,148
30,112,148
30,109,148
30,108,148
30,108,148
30,106,148
30,113,148
30,107,148
30,113,148
30,112,148
50,224,286
50,218,286
50,217,286
